id,title,author,genre,mood,description,rating
27,"Project Hail Mary","Andy Weir","Sci-Fi","sci-fi","A lone scientist must save Earth from extinction using unlikely allies",4.5
28,"Foundation","Isaac Asimov","Sci-Fi","sci-fi","A mathematician predicts and fights the fall of a galactic empire",4.5
29,"Hyperion","Dan Simmons","Sci-Fi","sci-fi","Seven pilgrims journey to a mysterious world, each revealing their story",4.5
30,"Old Man's War","John Scalzi","Sci-Fi","sci-fi","The elderly are recruited and enhanced for interstellar warfare",4.5
31,"The Girl with the Dragon Tattoo","Stieg Larsson","Thriller","thriller","A journalist and hacker uncover a wealthy family's dark secrets in Sweden",4.5
32,"Gone Girl","Gillian Flynn","Thriller","thriller","A woman's disappearance reveals sinister truths about marriage and media",4.5
33,"The Da Vinci Code","Dan Brown","Thriller","thriller","A symbologist races through Europe following clues to ancient secrets",4.5
34,"The Silent Patient","Alex Michaelides","Thriller","thriller","A woman refuses to speak after allegedly murdering her husband",4.5
35,"In the Woods","Tana French","Thriller","thriller","A detective confronts his past while investigating a child's disappearance",4.5
36,"Before I Go to Sleep","S.J. Watson","Thriller","thriller","A woman with memory loss discovers disturbing truths about her life",4.5
37,"I Am Watching You","Teresa Driscoll","Thriller","thriller","A woman's guilt over a witnessed conversation leads to deadly consequences",4.5
38,"Behind Closed Doors","B.A. Paris","Thriller","thriller","A seemingly perfect marriage hides a chilling and dangerous secret",4.5
39,"The Couple Next Door","Shari Lapena","Thriller","thriller","A baby disappears during a dinner party, exposing neighborhood secrets",4.5
40,"The Woman in the Window","A.J. Finn","Thriller","thriller","An agoraphobic woman believes she witnessed a crime from her window",4.5
41,"It","Stephen King","Horror","horror","A shape-shifting entity terrorizes children in the town of Derry",4.5
42,"The Shining","Stephen King","Horror","horror","A family's winter isolation in a haunted hotel leads to madness",4.5
43,"Bird Box","Josh Malerman","Horror","horror","A mother and children survive blindfolded against unseen monsters",4.5
44,"The Haunting of Hill House","Shirley Jackson","Horror","horror","A group investigates a haunted house that preys on human psychology",4.5
45,"Dracula","Bram Stoker","Horror","horror","The classic tale of Count Dracula's vampiric reign of terror",4.5
46,"Mexican Gothic","Silvia Moreno-Garcia","Horror","horror","A socialite investigates eerie events at a crumbling English mansion in Mexico",4.5
47,"The Exorcist","William Peter Blatty","Horror","horror","A young girl becomes possessed by a demonic force",4.5
48,"The Only Good Indians","Stephen Graham Jones","Horror","horror","A haunting tale of revenge rooted in Native American culture",4.3
49,"House of Leaves","Mark Z. Danielewski","Horror","horror","A family discovers their house is larger inside than outside",4.5
50,"Pet Sematary","Stephen King","Horror","horror","A burial ground with sinister powers tests the boundaries of life and death",4.5
